level,reading,writing,page,column,entry_no,needs_review,review_reason
N2,さわがしい,騒がしい,434,right,03,,
N2,しいんと,しいんと,434,right,04,,
N2,じかんわり,時間割,435,left,25,,
N2,しゅうかい,集会,435,left,26,,
N2,しゅうごう,集合,435,left,27,,
N2,しゅうだん,集団,435,left,28,,
N2,しょう,賞,435,left,29,1,duplicate_reading
N2,せいしょよ,清書,435,left,30,,
N2,せいせき,成績,435,right,31,,
N2,ゼミ,seminar,435,right,32,,
N2,せんたく,選択,435,right,34,,
N2,そつぎょうしょうしょ,業誠,435,right,35,,
N2,ちゅうたい,中退,436,left,37,,
N2,つうがく,通学,436,left,03,,
N2,とうあん,答案,436,left,,,
N2,とうばん,当番,436,left,,,
N2,としょしつ,図書室,436,left,02,,
N2,とりだす,取り出す,436,right,03,,
N2,パス,pass,436,right,04,,
N2,ばつ,ばつ,436,right,05,,
N2,ひっき,人筆記,436,right,06,,
N2,ひっきしけん,筆記試験,436,right,07,,
N2,ふゆやすみ,冬休み,436,right,08,,
N2,まんてん,満点,437,left,49,,
N2,みなおす,見直す,437,left,50,,
N2,やくわり,役割,437,left,51,,
N2,らん,拉,437,right,52,,
N2,れいてん,零点,437,right,53,,
N2,ぎしき,儀式,438,left,01,,
N2,きちょう,貴重,438,left,0z,,
N2,きねん,記念,438,left,03,,
N2,きねんしゃしん,記念写真,438,left,04,,
N2,ぎょうじ,行事,438,left,95,,
N2,しき,式,438,right,07,1,duplicate_reading
N2,しきたり,しきたり,438,right,05,,
N2,しゅくじつ,祝日,438,right,09,,
N2,じんせい,人生,438,right,,,
N2,そうしき,葬式,438,right,01,,
N2,そんぞく,存続,439,left,12,,
N2,つく,突く,439,left,13,,
N2,でんとう,伝統,439,left,14,,
N2,はなばなしい,華々しい,439,right,15,,
N2,ぼん,盆,439,right,06,,
N2,めでたい,目出度い,439,right,17,,
N2,あらい,粗い,440,left,02,,
N2,かたな,刀,440,left,00,,
N2,かね,鐘,440,left,04,,
N2,かみくず,紙くず,440,left,,,
N2,かみそり,剃刀,440,right,,,
N2,かんでんち,乾電池,440,right,,,
N2,かんむり,冠,440,right,,,
N2,きかい,器械,440,right,,,
N2,きぐ,器具,440,right,,,
N2,くさり,鎖,441,left,01,,
N2,くだ,管,441,left,12,,
N2,くちべに,口紅,441,left,13,,
N2,くるむ,包む,441,left,14,,
N2,コード,cord,441,left,15,,
N2,こうすい,香水,441,left,16,,
N2,こと,琴,441,left,17,,
N2,コレクション,collection,441,right,08,,
N2,コンセント,consent,441,right,19,,
N2,シーツ,sheet,441,right,20,,
N2,じしゃく,磁石,441,right,21,,
N2,じゃぐち,蛇口,441,right,22,,
N2,じゅう,銃,441,right,23,1,duplicate_reading
N2,せん,栓,442,left,02,1,duplicate_reading
N2,せんす,扇子,442,left,02,,
N2,ぞうきん,雑店,442,left,02,,
N2,タイプライター,typewriter,442,left,28,,
N2,タイヤ,tire,442,left,03,,
N2,ためし,試し,442,left,,,
N2,ちゅうこ,中古,442,right,01,,
N2,ちゅうせい,中性,442,right,02,1,duplicate_reading
N2,ちょうせつ,調節,442,right,03,,
N2,ちりがみ,ちり紙,442,right,04,,
N2,つな,綱,442,right,05,,
N2,なわ,縄,443,left,37,,
N2,にちようひん,日用品,443,left,38,,
N2,ねじ,ねじ,443,left,39,,
N2,パイプ,pipe,443,left,40,,
N2,はぐるま,歯車,443,left,41,,
N2,バケツ,bucket,443,left,42,,
N2,はりがね,針金,443,right,46,,
N2,ひつじゅひん,必需品,443,right,47,,
N2,ピン,pin,443,right,48,,
N2,ぼう,棒,444,left,52,,
N2,ほうき,等,444,left,53,,
N2,マスク,mask,444,left,54,,
N2,めざまし,目覚まし,444,right,05,,
N2,めざましどけい,目覚まし時計,444,right,05,,
N2,めん,面,444,right,07,,
N2,モーター,motor,444,right,05,,
N2,ようと,用途,444,right,,,
N2,ろうそく,蝋燭,444,right,00,,
N2,くぎ,釘,445,left,01,,
N2,くっつける,くっ付ける,445,left,02,,
N2,けずる,削る,445,left,03,,
N2,ざぶとん,座布団,445,left,04,,
N2,シャープペンシル,(和)sharp+pencil,445,left,05,,
N2,しん,忌,445,left,06,,
N2,すみ,墨,445,right,07,,
N2,そうち,装置,445,right,08,,
N2,そろばん,そろばん,445,right,09,,
N2,はんこ,はんこ,445,right,12,,
N2,ぶひん,部品,446,left,04,,
N2,ペンチ,pinchers,446,left,06,,
N2,ほうそう,包装,446,left,07,1,duplicate_reading
N2,ほんばこ,本箱,446,left,04,,
N2,メモ,memo,446,right,09,,
N2,いれもの,入れ物,446,right,01,,
N2,かご,籠,446,right,02,,
N2,から,空,446,right,03,1,duplicate_reading
N2,からっぽ,空っぽ,446,right,04,,
N2,ぎっしり,ぎっしり,447,left,0e,,
N2,きんこ,金庫,447,left,07,,
N2,ケース,case,447,left,08,,
N2,しゅうのう,収納,447,left,09,,
N2,つりあう,釣り合う,447,left,10,,
N2,はかり,計り,447,left,11,,
N2,はかり,秤,447,left,12,,
N2,ぴん,舞,447,right,43,,
N2,ものさし,物差し,447,right,14,,
N2,あかり,明かり,447,right,01,,
