reason,level,reading,writing,zh,page,column,entry_no,needs_review
duplicate_lower_or_base_reading,N1,あせる,褪せる,,667,right,,
duplicate_lower_or_base_reading,N1,かく,角,,667,right,10,
needs_review,N1,そまる,染まる,,668,right,,1
needs_review,N1,そめる,和染める,,668,right,,1
needs_review,N1,ちゃくしょく,着色,,668,right,,1
needs_review,N1,てんせん,点線,,668,right,,1
needs_review,N1,ブルー,blue,,668,right,,1
needs_review,N1,りったい,立体,,668,right,,1
duplicate_lower_or_base_reading,N1,きょうざい,教材,,669,left,03,
needs_review,N1,U2呈名,剛名,,669,right,oe,1
duplicate_existing_n1_reading,N1,しつけ,農,對孩子在禮貌上的、教養、管教、訓練、習慣,669,right,00,
duplicate_lower_or_base_reading,N1,ひこう,非行,,670,right,08,
needs_review,N1,ほいく,保育,,670,right,,1
duplicate_lower_or_base_reading,N1,うけもち,受け持ち,,671,left,01,
duplicate_lower_or_base_reading,N1,こうりつ,公立,,671,right,oe,
duplicate_lower_or_base_reading,N1,しぼう,志望,,671,right,08,
needs_review,N1,いいんかい,委員会,,672,left,,1
needs_review,N1,ききとり,聞き取り,,672,right,,1
needs_review,N1,きじゅつ,記述,,672,right,,1
needs_review,N1,きまつ,期末,,672,right,,1
needs_review,N1,きゅうがく,休学,,672,right,,1
needs_review,N1,きゅうしょく,給食,,672,right,,1
needs_review,N1,きょうか,教科,,672,right,,1
duplicate_source_reading,N1,げんてん,減点,扣分、減少的分數,673,left,11,
duplicate_lower_or_base_reading,N1,こうしゅう,講習,,673,left,12,
duplicate_lower_or_base_reading,N1,しゅうりょう,修了,,673,left,14,
duplicate_lower_or_base_reading,N1,しょう,証,,673,left,16,
duplicate_lower_or_base_reading,N1,しょぞく,所属,,673,left,17,
duplicate_lower_or_base_reading,N1,せんしゅう,専修,,673,right,20,
duplicate_lower_or_base_reading,N1,たいがく,退学,,673,right,22,
duplicate_lower_or_base_reading,N1,はん,班,,674,left,25,
needs_review,N1,ゆう,優,,674,right,,1
needs_review,N1,よこく,予告,,674,right,,1
duplicate_lower_or_base_reading,N1,かいさい,開催,,675,left,04,
needs_review,N1,みあい,見合い,,676,right,,1
needs_review,N1,みこん,未婚,,676,right,,1
needs_review,N1,もよおす,催す,,676,right,,1
needs_review,N1,らいじょう,来場,,676,right,,1
needs_review,N1,たんか,担架,,678,right,,1
needs_review,N1,ちょうしんき,聴診器,,678,right,,1
needs_review,N1,ちょうほう,重宝,,678,right,,1
needs_review,N1,ちりとり,塵取り,,678,right,,1
needs_review,N1,is31に,和荷,,679,right,,1
duplicate_lower_or_base_reading,N1,はた,機,,679,right,34,
